period_end,period_type,title,source_url,raw_text,confidence,notes
2025-01-01,monthly,2025年1月金融统计数据报告,https://jingji.cctv.com/2025/02/14/ARTI2Qy8fsueEEJNOCjrjBPu250214.shtml,"1月份人民币贷款增加5.13万亿元。分部门看，住户贷款增加4438亿元，其中，短期贷款减少497亿元，中长期贷款增加4935亿元；企（事）业单位贷款增加4.78万亿元。",0.85,新闻转载央行月报，单月口径
2025-12-01,annual,2025年金融统计数据报告,http://adimg.ce.cn/xwzx/gnsz/gdxw/202601/t20260115_2703247.shtml,"2025年我国住户贷款增加4417亿元；分部门看，住户贷款增加4417亿元，其中，短期贷款减少8351亿元，中长期贷款增加1.28万亿元；企（事）业单位贷款增加15.47万亿元。",0.8,全年累计口径；用于年度校验，不直接参与单月信号
2026-02-01,ytd,2026年前两个月金融统计数据报告,http://www2.xinhuanet.com/20260313/10cd7ab6edb04587a4edac976f0a4b35/c.html,"前两个月住户贷款减少1942亿元，其中，短期贷款减少3596亿元，中长期贷款增加1654亿元；企（事）业单位贷款增加5.94万亿元。",0.9,1-2月累计口径
2026-03-01,ytd,2026年一季度金融统计数据报告,https://news.cctv.com/2026/04/13/ARTIFfYIu2O9zpb1ITnySuj7260413.shtml,"一季度人民币贷款增加8.6万亿元。分部门看，住户贷款增加2967亿元，其中，短期贷款减少1640亿元，中长期贷款增加4607亿元；企（事）业单位贷款增加8.6万亿元。",0.95,一季度累计口径，可与前两月相减倒推3月
