module,weight,indicators,score_rule,notes
主信号：信贷扩表,50,住户新增贷款6M/12M均值与6M-12M利差；住户中长期贷款作为主信号内部核验,"6M>3000给20；12M>3000给20；6M>12M且连续扩张给10",信贷相关全部归入主信号
销售需求,18,商品房销售面积同比；销售额/均价同比；定金及预收款同比,"销售面积同比改善给10；销售额/均价改善给5；定金预收款改善给3",衡量新房真实需求是否修复
70城与核心城市二手房价格趋势,15,70城新房/二手房上涨城市占比；70城二手房环比/同比趋势；核心10城NBS二手房价格趋势；十大城市挂牌价,"70城价格扩散给5；70城二手房趋势给4；核心10城NBS价格改善给4；挂牌价改善给2",提高已有二手房价格趋势权重
库存与供给出清,12,待售去化月数；新开工/销售；竣工/销售,"去化月数下降给6；新开工/销售低位给3；竣工/销售压力下降给3",库存变化无核心10城源时，用全国库存与供给约束承接权重
房企融资,3,房企国内贷款；房地产开发贷,"房企资金改善给2；开发贷降幅收窄给1",辅助项，权重较低
景气与政策环境,2,国房景气指数；房贷利率/政策放松观察,"国房景气指数改善给1；政策/利率环境改善给1",环境项，不替代主信号
